agents.sas7bdat.xz,4096,4096
applican.sas7bdat.xz,4096,8192
bank8dte.sas7bdat.xz,16384,24576
bank8dtr.sas7bdat.xz,24576,49152
banks.sas7bdat.xz,4096,53248
beef.sas7bdat.xz,4096,57344
big8.sas7bdat.xz,4096,61440
born.sas7bdat.xz,4096,65536
branches.sas7bdat.xz,4096,69632
candyinfo.sas7bdat.xz,4096,73728
candy.sas7bdat.xz,4096,77824
capital2003.sas7bdat.xz,24576,102400
capital2004.sas7bdat.xz,24576,126976
capital2005.sas7bdat.xz,20480,147456
cars.sas7bdat.xz,4096,151552
cereal.sas7bdat.xz,4096,155648
cfrance2.sas7bdat.xz,4096,159744
cfrance.sas7bdat.xz,40960,200704
cities1.sas7bdat.xz,4096,204800
cities2.sas7bdat.xz,4096,208896
colon.sas7bdat.xz,98304,307200
contributedrevenue2003.sas7bdat.xz,8192,315392
contributedrevenue2004.sas7bdat.xz,8192,323584
contributedrevenue2005.sas7bdat.xz,8192,331776
cookie.sas7bdat.xz,4096,335872
corptrn.sas7bdat.xz,4096,339968
coutline.sas7bdat.xz,20480,360448
daysales.sas7bdat.xz,4096,364544
depress.sas7bdat.xz,4096,368640
dermatology.sas7bdat.xz,8192,376832
donate.sas7bdat.xz,4096,380928
drugprob.sas7bdat.xz,188416,569344
drugtest.sas7bdat.xz,36864,606208
dupsals.sas7bdat.xz,4096,610304
elements.sas7bdat.xz,4096,614400
elongated.sas7bdat.xz,4096,618496
empsals.sas7bdat.xz,4096,622592
environ.sas7bdat.xz,12288,634880
event1.sas7bdat.xz,4096,638976
event2.sas7bdat.xz,12288,651264
event3.sas7bdat.xz,16384,667648
event4.sas7bdat.xz,24576,692224
ex8_1.sas7bdat.xz,4096,696320
eyecarex.sas7bdat.xz,1703936,2400256
f2002be2.sas7bdat.xz,4096,2404352
ffhistory.sas7bdat.xz,4096,2408448
ffmethod.sas7bdat.xz,4096,2412544
Final_Candy.sas7bdat.xz,4096,2416640
firo.sas7bdat.xz,16384,2433024
firstsex.sas7bdat.xz,12288,2445312
fish.sas7bdat.xz,12288,2457600
flightdelays.sas7bdat.xz,4096,2461696
flightschedule.sas7bdat.xz,4096,2465792
fltat1.sas7bdat.xz,4096,2469888
fltspts.sas7bdat.xz,4096,2473984
flydays.sas7bdat.xz,4096,2478080
flymiles.sas7bdat.xz,4096,2482176
freqflyers.sas7bdat.xz,4096,2486272
frequentflyers.sas7bdat.xz,12288,2498560
gamblegrp.sas7bdat.xz,4096,2502656
gfrance2.sas7bdat.xz,4096,2506752
gfrance.sas7bdat.xz,20480,2527232
goutline.sas7bdat.xz,12288,2539520
gpa.sas7bdat.xz,4096,2543616
grade.sas7bdat.xz,4096,2547712
growth.sas7bdat.xz,4096,2551808
gss96.sas7bdat.xz,45056,2596864
hltheds2006.sas7bdat.xz,12288,2609152
hotel.sas7bdat.xz,4096,2613248
ilr2003.sas7bdat.xz,98304,2711552
ilr2004.sas7bdat.xz,126976,2838528
ilr2005.sas7bdat.xz,102400,2940928
internationalflights.sas7bdat.xz,4096,2945024
iris.sas7bdat.xz,4096,2949120
loansclosed2003.sas7bdat.xz,8192,2957312
loansclosed2004.sas7bdat.xz,8192,2965504
loansclosed2005.sas7bdat.xz,8192,2973696
mammals.sas7bdat.xz,4096,2977792
marchflights.sas7bdat.xz,8192,2985984
mathattitudes.sas7bdat.xz,16384,3002368
maysales.sas7bdat.xz,4096,3006464
mechanicslevel1.sas7bdat.xz,4096,3010560
mechanicslevel2.sas7bdat.xz,4096,3014656
mechanicslevel3.sas7bdat.xz,4096,3018752
military.sas7bdat.xz,4096,3022848
natlterr1994.sas7bdat.xz,1679360,4702208
natlterr2006.sas7bdat.xz,1257472,5959680
ncaa.sas7bdat.xz,8192,5967872
noday.sas7bdat.xz,4096,5971968
ocd.sas7bdat.xz,4096,5976064
orange.sas7bdat.xz,4096,5980160
orgprofile.sas7bdat.xz,57344,6037504
payrollchanges.sas7bdat.xz,4096,6041600
payrollmaster.sas7bdat.xz,4096,6045696
pcen_v2009_y09.sas7bdat.xz,3674112,9719808
pen.sas7bdat.xz,4096,9723904
people.sas7bdat.xz,4096,9728000
personae.sas7bdat.xz,4096,9732096
phones.sas7bdat.xz,4096,9736192
physeds2006.sas7bdat.xz,12288,9748480
pizza.sas7bdat.xz,8192,9756672
pizzazz.sas7bdat.xz,65536,9822208
police.sas7bdat.xz,4096,9826304
poor.sas7bdat.xz,4096,9830400
popmort.sas7bdat.xz,16384,9846784
portfolio2003.sas7bdat.xz,12288,9859072
portfolio2004.sas7bdat.xz,32768,9891840
portfolio2005.sas7bdat.xz,131072,10022912
prices.sas7bdat.xz,4096,10027008
protein.sas7bdat.xz,4096,10031104
rat.sas7bdat.xz,4096,10035200
rduschedule.sas7bdat.xz,4096,10039296
regsals.sas7bdat.xz,4096,10043392
religion.sas7bdat.xz,8192,10051584
salary1.sas7bdat.xz,4096,10055680
salary2.sas7bdat.xz,4096,10059776
salesbyday.sas7bdat.xz,4096,10063872
ski.sas7bdat.xz,4096,10067968
staffchanges.sas7bdat.xz,4096,10072064
staffmaster.sas7bdat.xz,4096,10076160
states.sas7bdat.xz,4096,10080256
storage.sas7bdat.xz,4096,10084352
stores.sas7bdat.xz,4096,10088448
stress.sas7bdat.xz,8192,10096640
students.sas7bdat.xz,4096,10100736
supervisors.sas7bdat.xz,4096,10104832
testans.sas7bdat.xz,4096,10108928
test.sas7bdat.xz,4096,10113024
todaysales.sas7bdat.xz,4096,10117120
transact.sas7bdat.xz,4096,10121216
turkey1.sas7bdat.xz,4096,10125312
turkey2.sas7bdat.xz,8192,10133504
unequal.sas7bdat.xz,4096,10137600
usnavy.sas7bdat.xz,4096,10141696
visits.sas7bdat.xz,4096,10145792
wheat.sas7bdat.xz,8192,10153984
xfrance2.sas7bdat.xz,4096,10158080
xfrance.sas7bdat.xz,20480,10178560
xoutline.sas7bdat.xz,12288,10190848
ymcls_p2_long_040506.sas7bdat.xz,1818624,12009472
yrbs05SAS.sas7bdat.xz,638976,12648448
yrbscol.sas7bdat.xz,143360,12791808
